"MTU","Out Area","In Area","Physical Flow (MW)"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","Luxembourg (LU)","Belgium (BE)","106.61"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","Netherlands (NL)","Belgium (BE)","2669.01"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","Belgium (BE)","United Kingdom (UK)","944.74"
"17/10/2025 12:00:00 - 17/10/2025 13:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","France (FR)","Belgium (BE)","2455.07"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","Belgium (BE)","Germany (DE)","707.93"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","Belgium (BE)","Luxembourg (LU)","0.00"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","Luxembourg (LU)","Belgium (BE)","88.33"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","Netherlands (NL)","Belgium (BE)","2612.51"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","Belgium (BE)","United Kingdom (UK)","932.33"
"17/10/2025 13:00:00 - 17/10/2025 14:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","France (FR)","Belgium (BE)","2490.26"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","Belgium (BE)","Germany (DE)","969.21"
"17/10/2025 14:00:00 - 17/10/2025 15:00:00","Germany (DE)","Belgium (BE)","0.00"
