"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"15/10/2025 07:15 - 15/10/2025 07:30","Belgium (BE)","9736.67","9903.03"
"15/10/2025 07:30 - 15/10/2025 07:45","Belgium (BE)","10025.52","10075.61"
"15/10/2025 07:45 - 15/10/2025 08:00","Belgium (BE)","10163.72","10165.34"
"15/10/2025 08:00 - 15/10/2025 08:15","Belgium (BE)","10123.39","10184.40"
"15/10/2025 08:15 - 15/10/2025 08:30","Belgium (BE)","10201.60","10347.28"
"15/10/2025 08:30 - 15/10/2025 08:45","Belgium (BE)","10350.09","10520.56"
"15/10/2025 08:45 - 15/10/2025 09:00","Belgium (BE)","10569.82","10658.32"
"15/10/2025 09:00 - 15/10/2025 09:15","Belgium (BE)","10618.57","10510.31"
"15/10/2025 09:15 - 15/10/2025 09:30","Belgium (BE)","10728.33","10608.45"
"15/10/2025 09:30 - 15/10/2025 09:45","Belgium (BE)","10843.04","10712.12"
"15/10/2025 09:45 - 15/10/2025 10:00","Belgium (BE)","10895.93","10777.47"
"15/10/2025 10:00 - 15/10/2025 10:15","Belgium (BE)","10990.50","10575.49"
"15/10/2025 10:15 - 15/10/2025 10:30","Belgium (BE)","11192.38","10578.99"
"15/10/2025 10:30 - 15/10/2025 10:45","Belgium (BE)","11214.10","10652.15"
"15/10/2025 10:45 - 15/10/2025 11:00","Belgium (BE)","11242.35","10751.05"
"15/10/2025 11:00 - 15/10/2025 11:15","Belgium (BE)","11135.58","10634.01"
"15/10/2025 11:15 - 15/10/2025 11:30","Belgium (BE)","10785.61","10679.80"
"15/10/2025 11:30 - 15/10/2025 11:45","Belgium (BE)","10680.87","10782.14"
"15/10/2025 11:45 - 15/10/2025 12:00","Belgium (BE)","10940.05","10831.05"
"15/10/2025 12:00 - 15/10/2025 12:15","Belgium (BE)","10622.35","10751.91"
"15/10/2025 12:15 - 15/10/2025 12:30","Belgium (BE)","10571.70","10685.89"
"15/10/2025 12:30 - 15/10/2025 12:45","Belgium (BE)","10530.35","10701.58"
"15/10/2025 12:45 - 15/10/2025 13:00","Belgium (BE)","10740.17","10703.32"
"15/10/2025 13:00 - 15/10/2025 13:15","Belgium (BE)","10669.78","10605.62"
"15/10/2025 13:15 - 15/10/2025 13:30","Belgium (BE)","10702.60","10563.62"
"15/10/2025 13:30 - 15/10/2025 13:45","Belgium (BE)","10751.18","10546.51"
"15/10/2025 13:45 - 15/10/2025 14:00","Belgium (BE)","10777.46","10435.05"
"15/10/2025 14:00 - 15/10/2025 14:15","Belgium (BE)","10534.70","10420.59"
"15/10/2025 14:15 - 15/10/2025 14:30","Belgium (BE)","10544.53","10412.69"
"15/10/2025 14:30 - 15/10/2025 14:45","Belgium (BE)","10420.33","10358.11"
