"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"20/10/2025 09:15 - 20/10/2025 09:30","Belgium (BE)","10683.21","10538.23"
"20/10/2025 09:30 - 20/10/2025 09:45","Belgium (BE)","10780.98","10652.56"
"20/10/2025 09:45 - 20/10/2025 10:00","Belgium (BE)","10841.24","10716.30"
"20/10/2025 10:00 - 20/10/2025 10:15","Belgium (BE)","10640.22","10524.47"
"20/10/2025 10:15 - 20/10/2025 10:30","Belgium (BE)","10773.01","10526.79"
"20/10/2025 10:30 - 20/10/2025 10:45","Belgium (BE)","11009.62","10639.68"
"20/10/2025 10:45 - 20/10/2025 11:00","Belgium (BE)","11234.49","10693.94"
"20/10/2025 11:00 - 20/10/2025 11:15","Belgium (BE)","10992.05","10633.50"
"20/10/2025 11:15 - 20/10/2025 11:30","Belgium (BE)","10856.46","10578.00"
"20/10/2025 11:30 - 20/10/2025 11:45","Belgium (BE)","11156.97","10645.98"
"20/10/2025 11:45 - 20/10/2025 12:00","Belgium (BE)","11152.90","10660.49"
"20/10/2025 12:00 - 20/10/2025 12:15","Belgium (BE)","11096.99","10581.46"
"20/10/2025 12:15 - 20/10/2025 12:30","Belgium (BE)","10888.41","10588.83"
"20/10/2025 12:30 - 20/10/2025 12:45","Belgium (BE)","10974.50","10579.81"
"20/10/2025 12:45 - 20/10/2025 13:00","Belgium (BE)","11102.43","10535.74"
"20/10/2025 13:00 - 20/10/2025 13:15","Belgium (BE)","11070.58","10515.19"
"20/10/2025 13:15 - 20/10/2025 13:30","Belgium (BE)","10904.31","10508.58"
"20/10/2025 13:30 - 20/10/2025 13:45","Belgium (BE)","10682.71","10430.19"
"20/10/2025 13:45 - 20/10/2025 14:00","Belgium (BE)","10617.76","10306.54"
"20/10/2025 14:00 - 20/10/2025 14:15","Belgium (BE)","10603.10","10322.88"
"20/10/2025 14:15 - 20/10/2025 14:30","Belgium (BE)","10466.48","10206.40"
"20/10/2025 14:30 - 20/10/2025 14:45","Belgium (BE)","10203.02","10167.43"
"20/10/2025 14:45 - 20/10/2025 15:00","Belgium (BE)","10164.52","10113.18"
"20/10/2025 15:00 - 20/10/2025 15:15","Belgium (BE)","10471.89","10189.26"
"20/10/2025 15:15 - 20/10/2025 15:30","Belgium (BE)","10168.18","10161.93"
"20/10/2025 15:30 - 20/10/2025 15:45","Belgium (BE)","10141.45","10045.48"
"20/10/2025 15:45 - 20/10/2025 16:00","Belgium (BE)","10043.30","9923.60"
"20/10/2025 16:00 - 20/10/2025 16:15","Belgium (BE)","10183.60","10058.57"
"20/10/2025 16:15 - 20/10/2025 16:30","Belgium (BE)","10345.35","10003.74"
"20/10/2025 16:30 - 20/10/2025 16:45","Belgium (BE)","10069.23","9955.41"
"20/10/2025 16:45 - 20/10/2025 17:00","Belgium (BE)","9987.13","9872.64"
"20/10/2025 17:00 - 20/10/2025 17:15","Belgium (BE)","10025.58","10199.67"
"20/10/2025 17:15 - 20/10/2025 17:30","Belgium (BE)","9837.03","10085.09"
"20/10/2025 17:30 - 20/10/2025 17:45","Belgium (BE)","9931.47","10120.77"
"20/10/2025 17:45 - 20/10/2025 18:00","Belgium (BE)","10081.39","10133.12"
"20/10/2025 18:00 - 20/10/2025 18:15","Belgium (BE)","10009.02","10541.07"
"20/10/2025 18:15 - 20/10/2025 18:30","Belgium (BE)","10044.26","10517.89"
"20/10/2025 18:30 - 20/10/2025 18:45","Belgium (BE)","10091.33","10500.23"
"20/10/2025 18:45 - 20/10/2025 19:00","Belgium (BE)","10378.70","10478.44"
"20/10/2025 19:00 - 20/10/2025 19:15","Belgium (BE)","10297.06","10672.70"
"20/10/2025 19:15 - 20/10/2025 19:30","Belgium (BE)","10080.48","10569.49"
"20/10/2025 19:30 - 20/10/2025 19:45","Belgium (BE)","10035.51","10531.04"
"20/10/2025 19:45 - 20/10/2025 20:00","Belgium (BE)","9947.89","10538.71"
"20/10/2025 20:00 - 20/10/2025 20:15","Belgium (BE)","9981.96","10215.91"
"20/10/2025 20:15 - 20/10/2025 20:30","Belgium (BE)","9929.15","10123.26"
"20/10/2025 20:30 - 20/10/2025 20:45","Belgium (BE)","9959.56","10011.98"
"20/10/2025 20:45 - 20/10/2025 21:00","Belgium (BE)","9805.31","9866.24"
"20/10/2025 21:00 - 20/10/2025 21:15","Belgium (BE)","9508.65","9698.27"
"20/10/2025 21:15 - 20/10/2025 21:30","Belgium (BE)","9549.07","9520.27"
"20/10/2025 21:30 - 20/10/2025 21:45","Belgium (BE)","9505.60","9396.34"
"20/10/2025 21:45 - 20/10/2025 22:00","Belgium (BE)","9347.36","9349.51"
"20/10/2025 22:00 - 20/10/2025 22:15","Belgium (BE)","8978.19","9144.13"
"20/10/2025 22:15 - 20/10/2025 22:30","Belgium (BE)","8869.46","9171.76"
"20/10/2025 22:30 - 20/10/2025 22:45","Belgium (BE)","8762.25","9088.41"
"20/10/2025 22:45 - 20/10/2025 23:00","Belgium (BE)","8778.42","9046.12"
"20/10/2025 23:00 - 20/10/2025 23:15","Belgium (BE)","8644.55","8839.64"
"20/10/2025 23:15 - 20/10/2025 23:30","Belgium (BE)","8526.80","8654.97"
"20/10/2025 23:30 - 20/10/2025 23:45","Belgium (BE)","8404.35","8613.69"
"20/10/2025 23:45 - 21/10/2025 00:00","Belgium (BE)","8392.76","8571.59"
